trade_id,direction,armed_time,entry_time,entry_price,stop_price,target_price,risk,swept_level_price,swept_level_source,sweep_extreme,fvg_top,fvg_bottom,midnight_open,bias,result,exit_time,exit_price,r_gained,pnl,points_gained
20200701-473960,LONG,2020-07-01 08:55,2020-07-01 09:35,10146.65,10124.36,10205.52,22.29,10132.7,ASIAN,10129.23,10144.65,10144.0,10150.64,BULLISH,WIN,2020-07-01 10:15,10205.52,2.641,2641.08,58.87
20200707-88b69e,LONG,2020-07-07 08:00,2020-07-07 08:30,10571.46,10548.32,10632.88,23.14,10595.07,ASIAN,10562.24,10569.46,10569.0,10621.4,BULLISH,WIN,2020-07-07 09:45,10632.88,2.654,2654.26,61.42
20200708-f97733,LONG,2020-07-08 07:30,2020-07-08 08:35,10563.2,10540.08,10624.57,23.12,10544.21,ASIAN,10539.67,10561.92,10559.4,10556.61,BULLISH,WIN,2020-07-08 09:40,10624.57,2.654,2654.02,61.37
20200710-f08712,LONG,2020-07-10 07:30,2020-07-10 08:30,10713.34,10689.92,10775.61,23.42,10691.92,ASIAN,10686.98,10711.34,10709.87,10706.2,BULLISH,LOSS,2020-07-10 09:35,10687.92,-1.085,-1085.39,-25.42
20200714-b18678,SHORT,2020-07-14 08:35,2020-07-14 09:40,10638.6,10661.88,10576.76,23.28,10670.01,ASIAN,10684.3,10644.45,10640.6,10637.98,BEARISH,WIN,2020-07-14 09:45,10576.76,2.656,2656.38,61.84
20200716-9f41db,LONG,2020-07-16 07:30,2020-07-16 08:35,10540.57,10517.49,10601.8,23.08,10563.85,PREV_DAY,10527.5,10538.57,10529.58,10607.8,BULLISH,WIN,2020-07-16 09:30,10601.8,2.653,2653.34,61.23
20200717-0d9b95,SHORT,2020-07-17 07:30,2020-07-17 08:45,10620.97,10644.22,10559.24,23.25,10621.1,ASIAN,10635.88,10626.53,10622.5,10606.1,BEARISH,LOSS,2020-07-17 09:10,10646.22,-1.086,-1086.04,-25.25
20200722-089e77,LONG,2020-07-22 07:30,2020-07-22 08:35,10873.3,10849.55,10936.52,23.74,10856.36,ASIAN,10848.68,10874.82,10871.01,10905.92,BULLISH,LOSS,2020-07-22 09:20,10847.55,-1.084,-1084.24,-25.74
20200728-bcc47a,LONG,2020-07-28 08:10,2020-07-28 09:30,10628.97,10605.72,10690.73,23.25,10695.12,ASIAN,10613.82,10627.61,10625.25,10706.07,BULLISH,LOSS,2020-07-28 09:35,10603.72,-1.086,-1086.01,-25.25
20200730-693da4,LONG,2020-07-30 07:40,2020-07-30 08:50,10562.34,10539.22,10623.7,23.12,10661.75,ASIAN,10537.39,10560.34,10547.5,10684.3,BULLISH,LOSS,2020-07-30 09:00,10537.22,-1.087,-1086.5,-25.12
20200731-030fb2,LONG,2020-07-31 07:30,2020-07-31 09:00,10909.62,10885.8,10973.07,23.82,10896.38,ASIAN,10891.76,10907.62,10905.9,10916.66,BULLISH,LOSS,2020-07-31 09:30,10883.8,-1.084,-1083.98,-25.82
20200804-a8ff9f,LONG,2020-08-04 08:15,2020-08-04 09:00,11019.65,10995.61,11083.76,24.04,11037.88,ASIAN,10997.55,11017.65,11015.7,11060.1,BULLISH,WIN,2020-08-04 10:05,11083.76,2.667,2667.16,64.11
20200806-32b276,LONG,2020-08-06 08:30,2020-08-06 09:35,11097.96,11073.77,11162.54,24.19,11089.7,ASIAN,11075.52,11105.66,11090.6,11093.22,BULLISH,WIN,2020-08-06 12:10,11162.54,2.669,2669.31,64.58
20200807-3c0aeb,LONG,2020-08-07 07:30,2020-08-07 08:40,11223.67,11199.23,11289.01,24.44,11199.67,ASIAN,11196.35,11227.15,11221.35,11202.45,BULLISH,LOSS,2020-08-07 11:55,11197.23,-1.082,-1081.82,-26.44
20200811-c9febe,SHORT,2020-08-11 09:35,2020-08-11 09:45,11047.73,11071.83,10983.43,24.1,11131.01,ASIAN,11135.0,11053.25,11034.63,11127.21,BEARISH,WIN,2020-08-11 10:00,10983.43,2.668,2668.04,64.3
20200812-6821e9,SHORT,2020-08-12 07:35,2020-08-12 09:30,10981.8,11005.77,10917.9,23.97,10957.32,ASIAN,10994.2,10988.18,10983.8,10919.64,BEARISH,LOSS,2020-08-12 09:35,11007.77,-1.083,-1083.45,-25.97
20200814-3dc97a,LONG,2020-08-14 07:30,2020-08-14 08:30,11202.2,11177.8,11267.4,24.4,11189.6,ASIAN,11182.49,11208.93,11193.89,11206.19,BULLISH,LOSS,2020-08-14 09:30,11175.8,-1.082,-1081.97,-26.4
20200819-30aef8,LONG,2020-08-19 09:15,2020-08-19 09:30,11388.0,11363.23,11454.32,24.77,11401.09,ASIAN,11379.58,11387.62,11385.8,11426.35,BULLISH,LOSS,2020-08-19 09:45,11361.23,-1.081,-1080.74,-26.77
20200820-1e8d7e,SHORT,2020-08-20 08:15,2020-08-20 09:35,11319.74,11344.38,11253.81,24.64,11272.5,PREV_WEEK,11335.62,11323.42,11320.12,11258.67,BEARISH,LOSS,2020-08-20 09:45,11346.38,-1.081,-1081.16,-26.64
20200821-2f5fa9,LONG,2020-08-21 09:15,2020-08-21 09:30,11471.36,11446.42,11538.18,24.94,11494.07,ASIAN,11445.61,11475.8,11469.1,11505.8,BULLISH,WIN,2020-08-21 10:30,11538.18,2.679,2679.21,66.82
20200828-7ecd82,LONG,2020-08-28 07:30,2020-08-28 08:35,11954.89,11928.98,12024.61,25.91,11936.35,ASIAN,11930.79,11952.89,11945.16,12009.17,BULLISH,LOSS,2020-08-28 13:30,11926.98,-1.077,-1077.2,-27.91
20200904-9a60fa,SHORT,2020-09-04 07:30,2020-09-04 08:40,11684.82,11710.19,11616.7,25.37,11710.52,ASIAN,11726.09,11703.26,11686.82,11644.74,BEARISH,LOSS,2020-09-04 08:45,11712.19,-1.079,-1078.82,-27.37
20200907-0282f4,SHORT,2020-09-07 08:20,2020-09-07 09:30,11474.49,11499.45,11407.64,24.95,11478.8,ASIAN,11490.4,11480.15,11465.7,11460.21,BEARISH,LOSS,2020-09-07 10:35,11501.45,-1.08,-1080.15,-26.95
20200909-0932be,SHORT,2020-09-09 07:30,2020-09-09 08:45,11229.71,11254.17,11164.31,24.46,11148.72,ASIAN,11273.62,11249.77,11224.28,11140.61,BEARISH,LOSS,2020-09-09 09:10,11256.17,-1.082,-1081.75,-26.46
20200911-b584cb,SHORT,2020-09-11 07:30,2020-09-11 09:30,11266.21,11290.75,11200.6,24.54,11269.09,ASIAN,11296.77,11270.56,11264.27,11249.59,BEARISH,WIN,2020-09-11 09:35,11200.6,2.674,2673.95,65.61
20200914-277f06,SHORT,2020-09-14 07:30,2020-09-14 09:20,11232.79,11257.26,11167.38,24.47,11241.23,PREV_DAY,11244.57,11236.18,11231.6,11223.72,BEARISH,LOSS,2020-09-14 09:30,11259.26,-1.082,-1081.73,-26.47
20200917-5d447a,LONG,2020-09-17 07:30,2020-09-17 10:05,11107.52,11083.31,11172.16,24.21,11080.64,PREV_DAY,11024.25,11113.33,11104.4,11129.84,BULLISH,LOSS,2020-09-17 10:15,11081.31,-1.083,-1082.61,-26.21
20200921-5fbc0c,LONG,2020-09-21 07:40,2020-09-21 08:30,10779.77,10756.21,10842.44,23.56,10872.76,PREV_DAY,10735.19,10791.02,10766.59,10928.88,BULLISH,LOSS,2020-09-21 08:40,10754.21,-1.085,-1084.91,-25.56
20200922-79d6d3,LONG,2020-09-22 07:30,2020-09-22 09:35,11027.4,11003.35,11091.55,24.05,10957.52,ASIAN,10950.83,11044.54,11023.31,10981.93,BULLISH,LOSS,2020-09-22 09:45,11001.35,-1.083,-1083.16,-26.05
20200923-1ea11c,LONG,2020-09-23 10:45,2020-09-23 10:55,11087.75,11063.58,11152.26,24.17,11091.76,ASIAN,11053.0,11085.94,11070.31,11122.23,BULLISH,LOSS,2020-09-23 11:25,11061.58,-1.083,-1082.74,-26.17
20201005-aaca4a,LONG,2020-10-05 07:30,2020-10-05 09:30,11353.37,11328.67,11419.48,24.7,11336.92,ASIAN,11331.45,11351.37,11344.29,11338.3,BULLISH,WIN,2020-10-05 10:10,11419.48,2.676,2676.15,66.11
20201006-03fba3,LONG,2020-10-06 07:30,2020-10-06 09:45,11444.2,11419.32,11510.85,24.88,11433.01,ASIAN,11423.72,11443.05,11441.11,11462.26,BULLISH,WIN,2020-10-06 10:20,11510.85,2.679,2678.51,66.65
20201007-37fe16,SHORT,2020-10-07 10:10,2020-10-07 10:55,11426.99,11451.85,11360.42,24.86,11311.81,ASIAN,11450.4,11430.73,11428.99,11298.43,BEARISH,LOSS,2020-10-07 11:30,11453.85,-1.08,-1080.46,-26.86
20201013-e14e8e,LONG,2020-10-13 07:30,2020-10-13 09:10,12133.81,12107.55,12204.6,26.26,12041.25,ASIAN,12029.8,12131.81,12102.91,12068.99,BULLISH,LOSS,2020-10-13 09:30,12105.55,-1.076,-1076.15,-28.26
20201014-2ffccf,LONG,2020-10-14 07:30,2020-10-14 08:45,12111.05,12084.83,12181.7,26.22,12105.82,ASIAN,12093.91,12109.05,12103.52,12164.7,BULLISH,LOSS,2020-10-14 09:30,12082.83,-1.076,-1076.28,-28.22
